trade_id,bot_id,strategy_id,symbol,asset_class,section,side,qty,acquired_date,acquired_time,disposed_date,disposed_time,cost_basis_usd,proceeds_usd,gross_pnl_usd,holding_period_days,is_long_term,is_section_1256,wash_sale_flag,exit_reason,regime,confluence_score,notes
b9311719325a,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.95580326,2026-03-30,2026-03-30T13:45:00+00:00,2026-03-30,2026-03-30T15:05:00+00:00,45684.63,45804.77,-120.14,0.0556,False,True,True,stop_hit,orb_breakout,10.0,
322575abb2d4,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.4159619,2026-03-31,2026-03-31T13:45:00+00:00,2026-03-31,2026-03-31T14:45:00+00:00,33319.35,33200.41,-118.94,0.0417,False,True,True,stop_hit,orb_breakout,10.0,
2fe885fb0360,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.99880012,2026-04-01,2026-04-01T14:20:00+00:00,2026-04-02,2026-04-02T01:15:00+00:00,24147.74,24029.99,-117.75,0.4549,False,True,True,stop_hit,orb_breakout,10.0,
83cf8d4caac5,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.21476338,2026-04-02,2026-04-02T13:50:00+00:00,2026-04-02,2026-04-02T14:35:00+00:00,28966.64,29199.79,233.15,0.0312,False,True,False,target_hit,orb_breakout,10.0,
4e4c2b554c13,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.37179695,2026-04-06,2026-04-06T13:45:00+00:00,2026-04-06,2026-04-06T14:05:00+00:00,33419.72,33300.81,-118.91,0.0139,False,True,True,stop_hit,orb_breakout,10.0,
6caea6d90aa1,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.33389575,2026-04-07,2026-04-07T13:45:00+00:00,2026-04-07,2026-04-07T15:00:00+00:00,32235.93,32000.49,235.43,0.0521,False,True,False,target_hit,orb_breakout,10.0,
c021e8ecfc0c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.35454343,2026-04-08,2026-04-08T14:55:00+00:00,2026-04-08,2026-04-08T15:45:00+00:00,33854.1,33974.17,-120.07,0.0347,False,True,True,stop_hit,orb_breakout,10.0,
b2f8aeece083,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.66667862,2026-04-09,2026-04-09T13:50:00+00:00,2026-04-09,2026-04-09T15:15:00+00:00,41700.3,41819.17,-118.87,0.059,False,True,True,stop_hit,orb_breakout,10.0,
9ba8805b69ae,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.49844184,2026-04-10,2026-04-10T14:30:00+00:00,2026-04-10,2026-04-10T15:50:00+00:00,37993.37,37875.69,-117.68,0.0556,False,True,True,stop_hit,orb_breakout,10.0,
c81eaf7d162c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.84404929,2026-04-13,2026-04-13T13:45:00+00:00,2026-04-13,2026-04-13T16:30:00+00:00,46600.97,46833.98,233.01,0.1146,False,True,False,target_hit,orb_breakout,10.0,
7caee88f174b,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,2.36654765,2026-04-14,2026-04-14T13:45:00+00:00,2026-04-14,2026-04-14T15:30:00+00:00,60930.91,61168.58,237.67,0.0729,False,True,False,target_hit,orb_breakout,10.0,
e479afd222b6,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,2.02500811,2026-04-15,2026-04-15T13:50:00+00:00,2026-04-15,2026-04-15T14:50:00+00:00,52741.84,52984.26,242.42,0.0417,False,True,False,target_hit,orb_breakout,10.0,
193716a0046b,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.6524063,2026-04-16,2026-04-16T13:50:00+00:00,2026-04-16,2026-04-16T14:05:00+00:00,43429.37,43553.0,-123.64,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
e7fc5b99ae91,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.03383771,2026-04-17,2026-04-17T13:50:00+00:00,2026-04-20,2026-04-20T15:05:00+00:00,27615.36,27492.96,-122.4,3.0521,False,True,True,stop_hit,orb_breakout,10.0,
7e88ee26d1d1,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.86014254,2026-04-21,2026-04-21T13:55:00+00:00,2026-04-21,2026-04-21T14:55:00+00:00,49923.44,49802.26,-121.18,0.0417,False,True,True,stop_hit,orb_breakout,10.0,
456736be1e76,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.54222663,2026-04-22,2026-04-22T14:00:00+00:00,2026-04-22,2026-04-22T17:20:00+00:00,41463.53,41703.46,239.93,0.1389,False,True,False,target_hit,orb_breakout,10.0,
74f70568a48b,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.71393197,2026-04-23,2026-04-23T13:45:00+00:00,2026-04-23,2026-04-23T14:00:00+00:00,46413.28,46290.92,-122.36,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
283d43b5f6f1,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.18680518,2026-04-24,2026-04-24T14:10:00+00:00,2026-04-24,2026-04-24T17:50:00+00:00,32322.05,32564.32,242.28,0.1528,False,True,False,target_hit,orb_breakout,10.0,
0f40b0fff2cd,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.83930229,2026-04-27,2026-04-27T13:45:00+00:00,2026-04-27,2026-04-27T17:15:00+00:00,50304.92,50428.48,-123.56,0.1458,False,True,False,stop_hit,orb_breakout,10.0,
